"module name","licenses"

"cloud.google.com/go/compute/metadata","Apache-2.0"
"code.dny.dev/ssrf","MIT"
"dario.cat/mergo","BSD-3-Clause"
"filippo.io/edwards25519","BSD-3-Clause"
"github.com/Masterminds/goutils","Apache-2.0"
"github.com/Masterminds/semver/v3","MIT"
"github.com/Masterminds/sprig/v3","MIT"
"github.com/Nvveen/Gotty","BSD-2-Clause"
"github.com/ProtonMail/go-crypto","BSD-3-Clause"
"github.com/ProtonMail/go-mime","MIT"
"github.com/ProtonMail/gopenpgp/v2","MIT"
"github.com/arbovm/levenshtein","BSD-3-Clause"
"github.com/asaskevich/govalidator","MIT"
"github.com/avast/retry-go/v4","MIT"
"github.com/aymerick/douceur","MIT"
"github.com/beorn7/perks/quantile","MIT"
"github.com/boombuler/barcode","MIT"
"github.com/bwmarrin/discordgo","BSD-3-Clause"
"github.com/cenkalti/backoff","MIT"
"github.com/cenkalti/backoff/v3","MIT"
"github.com/cenkalti/backoff/v4","MIT"
"github.com/cespare/xxhash/v2","MIT"
"github.com/cloudflare/circl","BSD-3-Clause"
"github.com/cockroachdb/cockroach-go/v2","Apache-2.0"
"github.com/containerd/continuity/pathdriver","Apache-2.0"
"github.com/coreos/go-oidc/v3/oidc","Apache-2.0"
"github.com/cristalhq/jwt/v4","MIT"
"github.com/davecgh/go-spew/spew","ISC"
"github.com/deckarep/golang-set","MIT"
"github.com/dghubble/oauth1","MIT"
"github.com/dgraph-io/ristretto","Apache-2.0"
"github.com/dgraph-io/ristretto/z","MIT"
"github.com/distribution/reference","Apache-2.0"
"github.com/docker/cli","Apache-2.0"
"github.com/docker/docker","Apache-2.0"
"github.com/docker/go-connections","Apache-2.0"
"github.com/docker/go-units","Apache-2.0"
"github.com/dustin/go-humanize","MIT"
"github.com/evanphx/json-patch","BSD-3-Clause"
"github.com/evanphx/json-patch/v5","BSD-3-Clause"
"github.com/fatih/color","MIT"
"github.com/fatih/structs","MIT"
"github.com/felixge/fgprof","MIT"
"github.com/felixge/httpsnoop","MIT"
"github.com/fsnotify/fsnotify","BSD-3-Clause"
"github.com/fxamacker/cbor/v2","MIT"
"github.com/gabriel-vasile/mimetype","MIT"
"github.com/getkin/kin-openapi","MIT"
"github.com/ghodss/yaml","MIT"
"github.com/ghodss/yaml","BSD-3-Clause"
