Method,Path,Bucket
GET,/.well-known/jwks.json,hydra-public-high
GET,/.well-known/openid-configuration,hydra-public-high
GET,/.well-known/ory/webauthn.js,hydra-public-high
GET,/admin/clients,hydra-admin-medium
POST,/admin/clients,hydra-admin-low
GET,/admin/clients/{id},hydra-admin-high
DELETE,/admin/clients/{id},hydra-admin-low
PATCH,/admin/clients/{id},hydra-admin-low
PUT,/admin/clients/{id},hydra-admin-low
HEAD,/.well-known/openid-configuration,hydra-public-high
PUT,/admin/clients/{id}/lifespans,hydra-admin-low
GET,/admin/keys/{set},hydra-admin-medium
DELETE,/admin/keys/{set},hydra-admin-low
POST,/admin/keys/{set},hydra-admin-low
PUT,/admin/keys/{set},hydra-admin-low
GET,/admin/keys/{set}/{kid},hydra-admin-medium
DELETE,/admin/keys/{set}/{kid},hydra-admin-low
PUT,/admin/keys/{set}/{kid},hydra-admin-low
GET,/admin/oauth2/auth/requests/consent,hydra-admin-high
PUT,/admin/oauth2/auth/requests/consent/accept,hydra-admin-high
PUT,/admin/oauth2/auth/requests/consent/reject,hydra-admin-high
PUT,/admin/oauth2/auth/requests/device/accept,hydra-admin-high
GET,/admin/oauth2/auth/requests/login,hydra-admin-high
PUT,/admin/oauth2/auth/requests/login/accept,hydra-admin-high
PUT,/admin/oauth2/auth/requests/login/reject,hydra-admin-high
GET,/admin/oauth2/auth/requests/logout,hydra-admin-high
PUT,/admin/oauth2/auth/requests/logout/accept,hydra-admin-high
PUT,/admin/oauth2/auth/requests/logout/reject,hydra-admin-high
GET,/admin/oauth2/auth/sessions/consent,hydra-admin-high
DELETE,/admin/oauth2/auth/sessions/consent,hydra-admin-low
DELETE,/admin/oauth2/auth/sessions/login,hydra-admin-low
POST,/admin/oauth2/introspect,hydra-admin-high
DELETE,/admin/oauth2/tokens,hydra-admin-low
GET,/admin/trust/grants/jwt-bearer/issuers,hydra-admin-medium
POST,/admin/trust/grants/jwt-bearer/issuers,hydra-admin-low
GET,/admin/trust/grants/jwt-bearer/issuers/{id},hydra-admin-medium
DELETE,/admin/trust/grants/jwt-bearer/issuers/{id},hydra-admin-low
OPTIONS,/admin/clients,hydra-admin-high
OPTIONS,/admin/clients/{id},hydra-admin-high
POST,/credentials,hydra-admin-medium
GET,/oauth2/auth,hydra-public-medium
HEAD,/oauth2/auth,hydra-public-high
POST,/oauth2/device/auth,hydra-public-high
GET,/oauth2/device/verify,hydra-admin-high
OPTIONS,/oauth2/auth,hydra-public-high
POST,/oauth2/register,hydra-public-low
GET,/oauth2/register/{id},hydra-admin-high
DELETE,/oauth2/register/{id},hydra-public-low
PUT,/oauth2/register/{id},hydra-public-low
POST,/oauth2/revoke,hydra-public-medium
