Method,Path,Bucket
GET,/.well-known/openid-configuration,hydra-public-high
HEAD,/.well-known/openid-configuration,hydra-public-high
GET,/.well-known/jwks.json,hydra-public-high
GET,/.well-known/ory/webauthn.js,hydra-public-high
HEAD,/oauth2/auth,hydra-public-high
OPTIONS,/oauth2/auth,hydra-public-high
GET,/oauth2/consent,hydra-public-high
POST,/oauth2/device/auth,hydra-public-high
GET,/oauth2/fallbacks/logout/callback,hydra-public-high
OPTIONS,/oauth2/token,hydra-public-high
GET,/admin/clients,hydra-admin-medium
GET,/admin/trust/grants/jwt-bearer/issuers,hydra-admin-medium
POST,/credentials,hydra-admin-medium
GET,/admin/keys/{set},hydra-admin-medium
GET,/admin/keys/{set}/{kid},hydra-admin-medium
GET,/admin/trust/grants/jwt-bearer/issuers/{id},hydra-admin-medium
POST,/admin/clients,hydra-admin-low
PUT,/admin/clients/{id}/lifespans,hydra-admin-low
DELETE,/admin/oauth2/auth/sessions/consent,hydra-admin-low
DELETE,/admin/oauth2/auth/sessions/login,hydra-admin-low
DELETE,/admin/oauth2/tokens,hydra-admin-low
POST,/admin/trust/grants/jwt-bearer/issuers,hydra-admin-low
PUT,/admin/clients/{id},hydra-admin-low
PATCH,/admin/clients/{id},hydra-admin-low
DELETE,/admin/clients/{id},hydra-admin-low
POST,/admin/keys/{set},hydra-admin-low
PUT,/admin/keys/{set},hydra-admin-low
DELETE,/admin/keys/{set},hydra-admin-low
PUT,/admin/keys/{set}/{kid},hydra-admin-low
DELETE,/admin/keys/{set}/{kid},hydra-admin-low
DELETE,/admin/trust/grants/jwt-bearer/issuers/{id},hydra-admin-low
OPTIONS,/admin/clients,hydra-admin-high
GET,/admin/oauth2/auth/requests/consent,hydra-admin-high
PUT,/admin/oauth2/auth/requests/consent/accept,hydra-admin-high
PUT,/admin/oauth2/auth/requests/consent/reject,hydra-admin-high
PUT,/admin/oauth2/auth/requests/device/accept,hydra-admin-high
GET,/admin/oauth2/auth/requests/login,hydra-admin-high
PUT,/admin/oauth2/auth/requests/login/accept,hydra-admin-high
PUT,/admin/oauth2/auth/requests/login/reject,hydra-admin-high
GET,/admin/oauth2/auth/requests/logout,hydra-admin-high
PUT,/admin/oauth2/auth/requests/logout/accept,hydra-admin-high
PUT,/admin/oauth2/auth/requests/logout/reject,hydra-admin-high
GET,/admin/oauth2/auth/sessions/consent,hydra-admin-high
POST,/admin/oauth2/introspect,hydra-admin-high
GET,/oauth2/device/verify,hydra-admin-high
GET,/admin/clients/{id},hydra-admin-high
OPTIONS,/admin/clients/{id},hydra-admin-high
GET,/oauth2/register/{id},hydra-admin-high
GET,/oauth2/auth,hydra-public-medium
POST,/oauth2/auth,hydra-public-medium
POST,/oauth2/revoke,hydra-public-medium
GET,/oauth2/sessions/logout,hydra-public-medium
POST,/oauth2/sessions/logout,hydra-public-medium
POST,/oauth2/token,hydra-public-medium
GET,/userinfo,hydra-public-medium
POST,/oauth2/register,hydra-public-low
PUT,/oauth2/register/{id},hydra-public-low
DELETE,/oauth2/register/{id},hydra-public-low
PUT,/admin/relation-tuples,keto-admin-low
PATCH,/admin/relation-tuples,keto-admin-low
DELETE,/admin/relation-tuples,keto-admin-low
GET,/namespaces,keto-admin-low
POST,/ory.keto.relation_tuples.v1alpha2.WriteService/TransactRelationTuples,keto-admin-low
POST,/opl/syntax/check,keto-admin-medium
GET,/relation-tuples,keto-admin-medium
GET,/relation-tuples/expand,keto-admin-medium
POST,/ory.keto.relation_tuples.v1alpha2.CheckService/BatchCheck,keto-public-high
POST,/ory.keto.relation_tuples.v1alpha2.CheckService/Check,keto-public-high
POST,/relation-tuples/batch/check,keto-public-high
