bucketname,tier,env,rpm,rps
hydra-admin-high,Develop,dev,40,3
hydra-admin-high,Develop,prod,40,3
hydra-admin-high,Develop,stage,40,3
hydra-admin-high,Enterprise,dev,80,4
hydra-admin-high,Enterprise,prod,4800,160
hydra-admin-high,Enterprise,stage,80,4
hydra-admin-high,Growth,dev,80,4
hydra-admin-high,Growth,prod,2400,80
hydra-admin-high,Growth,stage,80,4
hydra-admin-high,Production,dev,80,4
hydra-admin-high,Production,prod,250,10
hydra-admin-high,Production,stage,80,4
hydra-admin-low,Develop,dev,20,2
hydra-admin-low,Develop,prod,20,2
hydra-admin-low,Develop,stage,20,2
hydra-admin-low,Enterprise,dev,40,3
hydra-admin-low,Enterprise,prod,320,10
hydra-admin-low,Enterprise,stage,40,3
hydra-admin-low,Growth,dev,40,3
hydra-admin-low,Growth,prod,160,7
hydra-admin-low,Growth,stage,40,3
hydra-admin-low,Production,dev,40,3
hydra-admin-low,Production,prod,80,4
hydra-admin-low,Production,stage,40,3
hydra-admin-medium,Develop,dev,20,2
hydra-admin-medium,Develop,prod,20,2
hydra-admin-medium,Develop,stage,20,2
hydra-admin-medium,Enterprise,dev,40,3
hydra-admin-medium,Enterprise,prod,320,10
hydra-admin-medium,Enterprise,stage,40,3
hydra-admin-medium,Growth,dev,40,3
hydra-admin-medium,Growth,prod,160,7
hydra-admin-medium,Growth,stage,40,3
hydra-admin-medium,Production,dev,40,3
hydra-admin-medium,Production,prod,80,4
hydra-admin-medium,Production,stage,40,3
hydra-public-high,Develop,dev,60,3
hydra-public-high,Develop,prod,60,3
hydra-public-high,Develop,stage,60,3
hydra-public-high,Enterprise,dev,120,7
hydra-public-high,Enterprise,prod,1500,55
hydra-public-high,Enterprise,stage,120,7
hydra-public-high,Growth,dev,120,7
hydra-public-high,Growth,prod,720,30
hydra-public-high,Growth,stage,120,7
hydra-public-high,Production,dev,120,7
hydra-public-high,Production,prod,250,10
hydra-public-high,Production,stage,120,7
hydra-public-low,Develop,dev,20,2
hydra-public-low,Develop,prod,20,2
hydra-public-low,Develop,stage,20,2
hydra-public-low,Enterprise,dev,40,3
hydra-public-low,Enterprise,prod,320,10
hydra-public-low,Enterprise,stage,40,3
hydra-public-low,Growth,dev,40,3
hydra-public-low,Growth,prod,160,7
